CodeSection,count,coverage_pct,norm_section,category_auto
18.2-272A,345,95.23591030984531,18.2-272A,dui_traffic_criminal
18.2-36,344,95.27367088802123,18.2-36,violent
18.2-92,344,95.31143146619715,18.2-92,property
46.2-869,342,95.34897250612786,46.2-869,traffic
18.2-366,333,95.38552562395513,18.2-366,juvenile_family
18.2-456(A)(1),330,95.4217494344146,18.2-456,obstruction_justice
18.2-287.4,327,95.45764393750625,18.2-287.4,weapons
46.2-391,324,95.49320913323008,46.2-391,traffic
18.2-460(E),315,95.52778640685047,18.2-460,obstruction_justice
18.2-152.3,311,95.56192460398044,18.2-152.3,property
18.2-514,310,95.59595303198782,18.2-514,
46.2-715,309,95.62987169087259,46.2-715,traffic
G.46.2-875,304,95.66324150414434,46.2-875,traffic
18.2-51.1,304,95.69661131741609,18.2-51.1,violent
18.2-52,303,95.72987136156522,18.2-52,violent
46.2-804(2),293,95.76203371448831,46.2-804,traffic
46.2-1094,288,95.7936472217984,46.2-1094,traffic
A.46.2-870,274,95.823723961392,46.2-870,traffic
18.2-431.1,274,95.85380070098562,18.2-431.1,
46.2-818.2(C),273,95.88376767145662,46.2-818.2,traffic
18.2-42,272,95.91362487280503,18.2-42,violent
18.2-26,269,95.94315276678562,18.2-26,
18.2-81,262,95.97191227690799,18.2-81,
18.2-46.6,256,96.00001317229471,18.2-46.6,violent
46.2-870,253,96.02778476031364,46.2-870,traffic
19.2-128(B),253,96.05555634833256,19.2-128,failure_to_appear
3.2-6571,252,96.08321816722886,3.2-6571,animal_cruelty
46.2-600,250,96.11066044787998,46.2-600,traffic
18.2-308.7,249,96.13799295940848,18.2-308.7,weapons
32.1-314,246,96.16499616356917,32.1-314,
18.2-308.2(A),244,96.19177982948464,18.2-308.2,weapons
21-1/46.2-862,239,96.21801464978711,21-1,
G.46.2-874,239,96.24424947008956,46.2-874,traffic
54.1-1115,238,96.27037452126942,54.1-1115,drug
46.2-818.2A,236,96.29628003420406,46.2-818.2A,traffic
F.46.2-878,233,96.3218562397709,46.2-878,traffic
18.2-246.3,233,96.34743244533772,18.2-246.3,
18.2-173,232,96.37289888178195,18.2-173,fraud_financial
18.2-117,232,96.39836531822617,18.2-117,property
46.2-1003,229,96.42350244730258,46.2-1003,traffic
18.2-255,228,96.44852980725639,18.2-255,drug
18.2-109,213,96.47191063037114,18.2-109,property
46.2-1052,213,96.49529145348588,46.2-1052,traffic
18.2-300,210,96.51834296923282,18.2-300,weapons
18.2-290,209,96.54128471585713,18.2-290,weapons
18.2-57.02,208,96.56411669335886,18.2-57.02,violent
A.46.2-104,205,96.58661936349277,46.2-104,traffic
18.2-369,205,96.60912203362668,18.2-369,juvenile_family
46.2-868.1,202,96.63129539639277,46.2-868.1,traffic
18.2-19,201,96.65335899003625,18.2-19,
46.2-391(D)(3),201,96.67542258367975,46.2-391,traffic
18.2-456(1),198,96.69715686995542,18.2-456,obstruction_justice
18.2-462,189,96.71790323412766,18.2-462,obstruction_justice
46.2-391(D)(1),188,96.73853982917728,46.2-391,traffic
18.2-472.1(B),187,96.75906665510432,18.2-472.1,obstruction_justice
60.2-632,187,96.77959348103134,60.2-632,
18.2-429,180,96.79935192310015,18.2-429,
18.2-479,177,96.81878105780113,18.2-479,obstruction_justice
18.2-197,171,96.83755157776649,18.2-197,fraud_financial
18.2-57(C),169,96.85610255948663,18.2-57,violent
B.46.2-104,166,96.87432423383896,46.2-104,traffic
18.2-152.7:1,166,96.8925459081913,18.2-152.7:1,property
18.2-204.2,164,96.91054804429842,18.2-204.2,fraud_financial
A.46.2-878,161,96.92822087303774,46.2-878,traffic
E.18.2-266,161,96.94589370177705,18.2-266,dui_traffic_criminal
46.2-105.2,161,96.96356653051636,46.2-105.2,traffic
18.2-97,160,96.98112959013308,18.2-97,property
46.2-328,159,96.99858288062718,46.2-328,traffic
4.1-305,159,97.01603617112129,4.1-305,
46.2-1173,159,97.03348946161539,46.2-1173,traffic
18.2-357,159,97.05094275210949,18.2-357,juvenile_family
46.2-896,157,97.06817650435838,46.2-896,traffic
63.2-513,156,97.08530048748467,63.2-513,
46.2-605,156,97.10242447061097,46.2-605,traffic
18.2-374.1:1(A),156,97.11954845373725,18.2-374.1:1,public_order
18.2-323.02,155,97.13656266774095,18.2-323.02,
46.2-613,152,97.15324757437682,46.2-613,traffic
46.2-853,152,97.16993248101268,46.2-853,traffic
18.2-361,149,97.18628808028075,18.2-361,juvenile_family
46.2-802,149,97.2026436795488,46.2-802,traffic
A.46.2-864,148,97.21888950969426,46.2-864,traffic
54.1-111,147,97.23502557071711,54.1-111,drug
18.2-386.2,147,97.25116163173996,18.2-386.2,public_order
46.2-888,147,97.26729769276281,46.2-888,traffic
24.2-1016,145,97.28321421554045,24.2-1016,
58.1-1017.1,143,97.2989112000729,58.1-1017.1,
16.1-292,142,97.31449841548272,16.1-292,juvenile_family
21-1/46.2-301,142,97.33008563089254,21-1,
18.2-22/18.2-58,142,97.34567284630238,18.2-22,
3.2-6503.1,142,97.3612600617122,3.2-6503.1,animal_cruelty
C.46.2-875,141,97.37673750799942,46.2-875,traffic
46.2-612,141,97.39221495428664,46.2-612,traffic
46.2-613(2),139,97.40747286232866,46.2-613,traffic
18.2-308.1,138,97.42262100124807,18.2-308.1,weapons
18.2-387.1,138,97.43776914016749,18.2-387.1,public_order
B.18.2-36.1,134,97.45247820259648,18.2-36.1,violent
46.2-612(1),134,97.46718726502547,46.2-612,traffic
46.2-861.1(A),133,97.48178655833186,46.2-861.1,traffic
18.2-248(C),133,97.49638585163825,18.2-248,drug
A.18.2-272,131,97.51076560669942,18.2-272,dui_traffic_criminal
46.2-825,130,97.525035592638,46.2-825,traffic
18.2-311.1,127,97.53897627120877,18.2-311.1,
18.2-186,127,97.55291694977953,18.2-186,fraud_financial
18.2-346.01,126,97.56674785922769,18.2-346.01,
18.2-85,125,97.58046899955323,18.2-85,
18.2-272B,125,97.59419013987879,18.2-272B,dui_traffic_criminal
F.18.2-266,122,97.60758197283653,18.2-266,dui_traffic_criminal
8.01-356,122,97.62097380579428,8.01-356,
18.2-59,122,97.63436563875202,18.2-59,
A.46.2-863,119,97.64742816434195,46.2-863,traffic
46.2-707,118,97.66038092080926,46.2-707,traffic
2021-04-7-4,118,97.67333367727659,2021-04-7-4,
18.2-251.4,116,97.6860668954987,18.2-251.4,drug
18.2-347,115,97.6986903445982,18.2-347,
19.2-304,114,97.71120402457511,19.2-304,procedural_other
33.2-802,114,97.72371770455202,33.2-802,
E.46.2-894,113,97.73612161540632,46.2-894,traffic
18.2-308.2:1,112,97.748415757138,18.2-308.2:1,weapons
21-1/46.2-613,109,97.7603805915019,21-1,
46.2-902.1,108,97.77223565674318,46.2-902.1,traffic
18.2-80,106,97.78387118373924,18.2-80,
18.2-474,104,97.7952871724901,18.2-474,obstruction_justice
18.2-308.5:1,104,97.80670316124096,18.2-308.5:1,weapons
18.2-346,103,97.81800938086921,18.2-346,
21-1/46.2-300,102,97.82920583137486,21-1,
C.46.2-874,100,97.84018274363531,46.2-874,traffic
18.2-272C,99,97.85104988677315,18.2-272C,dui_traffic_criminal
21-1/46.2-1158,97,97.86169749166578,21-1,
23-22,97,97.8723450965584,23-22,
46.2-841,95,97.88277316320583,46.2-841,traffic
18.2-152,95,97.89320122985325,18.2-152,property
18.2-49.1,94,97.90351952737807,18.2-49.1,violent
