CodeSection,count,coverage_pct
54.1-111,147,97.23502557071711
18.2-386.2,147,97.25116163173996
46.2-888,147,97.26729769276281
24.2-1016,145,97.28321421554045
58.1-1017.1,143,97.2989112000729
16.1-292,142,97.31449841548272
21-1/46.2-301,142,97.33008563089254
18.2-22/18.2-58,142,97.34567284630238
3.2-6503.1,142,97.3612600617122
C.46.2-875,141,97.37673750799942
46.2-612,141,97.39221495428664
46.2-613(2),139,97.40747286232866
18.2-308.1,138,97.42262100124807
18.2-387.1,138,97.43776914016749
B.18.2-36.1,134,97.45247820259648
46.2-612(1),134,97.46718726502547
46.2-861.1(A),133,97.48178655833186
18.2-248(C),133,97.49638585163825
A.18.2-272,131,97.51076560669942
46.2-825,130,97.525035592638
18.2-311.1,127,97.53897627120877
18.2-186,127,97.55291694977953
18.2-346.01,126,97.56674785922769
18.2-85,125,97.58046899955323
18.2-272B,125,97.59419013987879
F.18.2-266,122,97.60758197283653
8.01-356,122,97.62097380579428
18.2-59,122,97.63436563875202
A.46.2-863,119,97.64742816434195
46.2-707,118,97.66038092080926
2021-04-7-4,118,97.67333367727659
18.2-251.4,116,97.6860668954987
18.2-347,115,97.6986903445982
19.2-304,114,97.71120402457511
33.2-802,114,97.72371770455202
E.46.2-894,113,97.73612161540632
18.2-308.2:1,112,97.748415757138
21-1/46.2-613,109,97.7603805915019
46.2-902.1,108,97.77223565674318
18.2-80,106,97.78387118373924
18.2-474,104,97.7952871724901
18.2-308.5:1,104,97.80670316124096
18.2-346,103,97.81800938086921
21-1/46.2-300,102,97.82920583137486
C.46.2-874,100,97.84018274363531
18.2-272C,99,97.85104988677315
21-1/46.2-1158,97,97.86169749166578
23-22,97,97.8723450965584
46.2-841,95,97.88277316320583
18.2-152,95,97.89320122985325
18.2-49.1,94,97.90351952737807
18.2-286,94,97.91383782490288
21-1/46.2-875,94,97.9241561224277
46.2-826,94,97.93447441995251
46.2-716,94,97.94479271747733
18.2-118,93,97.95500124587954
18.2-308.012,93,97.96520977428176
19.2-295.2,93,97.97541830268396
18.2-67.5:1,92,97.98551706196358
46.2-820,92,97.99561582124318
18.2-371.1(B),92,98.00571458052279
18.2-67.4:2,91,98.01570357067979
A.18.2-36.1,90,98.02558279171419
46.2-878,90,98.03546201274858
4.1-1100,89,98.04523146466038
37.2-429,89,98.05500091657217
18.2-305,88,98.06466059936136
18.2-36.1,86,98.07410074390535
46.2-1172,85,98.08343111932672
18.2-456 (6),84,98.09265172562549
46.2-357,84,98.10187233192427
53.1-131.1,83,98.11098316910044
18.2-370.5,83,98.1200940062766
A.46.2-860,83,98.12920484345277
46.2-618,83,98.13831568062893
18.2-46.3,83,98.1474265178051
18.2-181.1,82,98.15642758585867
58.1-1017.3,81,98.16531888478963
A.46.2-865,80,98.17410041459797
F.46.2-874,77,98.18255263703851
58.1-3907,77,98.19100485947905
F.46.2-875,76,98.19934731279699
18.2-23/18.2-95,76,98.20768976611492
18.2-312,76,98.21603221943286
16.1-253,76,98.2243746727508
A.46.2-1095,75,98.23260735694613
29.1-335,75,98.24084004114147
18.2-416,74,98.2489629562142
A.46.2-861,74,98.25708587128692
18.2-460(A),73,98.26509901723705
46.2-105,72,98.27300239406456
18.2-29,72,98.28090577089208
46.2-302,72,98.2888091477196
21-1/46.2-804,70,98.29649298630191
18.2-266.1,69,98.30406705576162
36-106,69,98.31164112522133
18.2-331,68,98.31910542555842
18.2-112,67,98.32645995677292
58.1-4018.1,67,98.33381448798741
18.2-174,67,98.34116901920191
18.2-130,66,98.3484137812938
"18.2-67.3(A,1)",66,98.3556585433857
18.2-441.1,65,98.36279353635499
3.2-6521,65,98.36992852932427
A.46.2-875,65,98.37706352229355
18.2-55,64,98.38408874614025
18.2-308.2:01,63,98.39100420086432
18.2-115,63,98.3979196555884
18.2-282.1,63,98.40483511031248
18.2-56.2,63,98.41175056503656
B.46.2-896,63,98.41866601976064
18.2-188,62,98.42547170536211
46.2-848,62,98.43227739096359
46.2-875,61,98.43897330744245
18.2-128,61,98.44566922392133
18.2-152.4,61,98.45236514040019
18.2-456(A)(3),61,98.45906105687907
18.2-86,60,98.46564720423534
46.2-818.2,59,98.472123582469
21-1/46.2-878,59,98.47859996070265
18.2-436,59,98.48507633893631
G.46.2-873,59,98.49155271716998
18.2-456 (A6),58,98.49791932628104
46.2-874,58,98.50428593539209
18.2-264,58,98.51065254450315
62.1-44.32,58,98.5170191536142
18.2-356,58,98.52338576272525
18.2-144,57,98.52964260271371
46.2-1049,57,98.53589944270216
18.2-51.2(A),56,98.54204651356801
1-200,55,98.54808381531126
18.2-374,55,98.55412111705449
18.2-355,55,98.56015841879774
18.2-172.2,55,98.56619572054099
18.2-213.2,55,98.57223302228422
3.2-6570(A)(I),55,98.57827032402747
46.2-1074,54,98.58419785664812
46.2-1075,54,98.59012538926875
18.2-57(A),54,98.5960529218894
18.2-103.1,54,98.60198045451003
63.2-523,53,98.60779821800806
54.1-2409.1,53,98.6136159815061
18.2-212,52,98.61932397588153
18.2-474.2,52,98.62503197025696
18.2-478,51,98.63063019550978
16.1-253.1,50,98.63611865164
46.2-846,50,98.64160710777023
21-1/46.2-874,49,98.64698579477785
46.2-104,49,98.65236448178545
